,Table name,State,District,Area Name,Last residence,Last residence.1,Place of enumeration,Total migrants(Persons),Total migrants(Males),Total migrants(Females),Less than 1 year(Persons),Less than 1 year(Males),Less than 1 year(Females),1-4 years(Persons),1-4 years(Males),1-4 years(Females),5-9 years(Persons),5-9 years(Males),5-9 years(Females),10-19 years(Persons),10-19 years(Males),10-19 years(Females),20+ years(Persons),20+ years(Males),20+ years(Females),Duration not stated(Persons),Duration not stated(Males),Duration not stated(Females)
9026,D0302,29.0,572.0,Bangalore,Last residence within India,Rural,Urban,1453645.0,807820.0,645825.0,80661.0,45433.0,35228.0,360728.0,197619.0,163109.0,313671.0,176313.0,137358.0,284585.0,158983.0,125602.0,287413.0,167198.0,120215.0,126587.0,62274.0,64313.0
9035,D0302,29.0,572.0,Bangalore,Within the state of enumeration but outside the place of enumeration,Rural,Urban,994407.0,545258.0,449149.0,52041.0,28303.0,23738.0,243679.0,129983.0,113696.0,220792.0,122128.0,98664.0,196679.0,109338.0,87341.0,193063.0,112202.0,80861.0,88153.0,43304.0,44849.0
9044,D0302,29.0,572.0,Bangalore,Elsewhere in the district of enumeration,Rural,Urban,102049.0,54269.0,47780.0,5839.0,3248.0,2591.0,21720.0,11787.0,9933.0,18000.0,9685.0,8315.0,16568.0,8820.0,7748.0,18827.0,10131.0,8696.0,21095.0,10598.0,10497.0
9053,D0302,29.0,572.0,Bangalore,In other districts of the state of enumeration,Rural,Urban,892358.0,490989.0,401369.0,46202.0,25055.0,21147.0,221959.0,118196.0,103763.0,202792.0,112443.0,90349.0,180111.0,100518.0,79593.0,174236.0,102071.0,72165.0,67058.0,32706.0,34352.0
9062,D0302,29.0,572.0,Bangalore,States in India beyond the state of enumeration,Rural,Urban,459238.0,262562.0,196676.0,28620.0,17130.0,11490.0,117049.0,67636.0,49413.0,92879.0,54185.0,38694.0,87906.0,49645.0,38261.0,94350.0,54996.0,39354.0,38434.0,18970.0,19464.0
9071,D0302,29.0,572.0,Bangalore,Jammu & Kashmir,Rural,Urban,589.0,342.0,247.0,65.0,33.0,32.0,242.0,136.0,106.0,97.0,67.0,30.0,69.0,42.0,27.0,56.0,31.0,25.0,60.0,33.0,27.0
9080,D0302,29.0,572.0,Bangalore,Himachal Pradesh,Rural,Urban,505.0,267.0,238.0,51.0,26.0,25.0,193.0,90.0,103.0,78.0,43.0,35.0,59.0,39.0,20.0,54.0,29.0,25.0,70.0,40.0,30.0
9089,D0302,29.0,572.0,Bangalore,Punjab,Rural,Urban,1084.0,575.0,509.0,107.0,55.0,52.0,388.0,195.0,193.0,187.0,99.0,88.0,156.0,86.0,70.0,183.0,113.0,70.0,63.0,27.0,36.0
9098,D0302,29.0,572.0,Bangalore,Chandigarh,Rural,Urban,95.0,52.0,43.0,11.0,10.0,1.0,41.0,19.0,22.0,14.0,7.0,7.0,7.0,4.0,3.0,9.0,6.0,3.0,13.0,6.0,7.0
9107,D0302,29.0,572.0,Bangalore,Uttarakhand,Rural,Urban,779.0,471.0,308.0,116.0,68.0,48.0,299.0,183.0,116.0,162.0,107.0,55.0,100.0,64.0,36.0,55.0,33.0,22.0,47.0,16.0,31.0
9116,D0302,29.0,572.0,Bangalore,Haryana,Rural,Urban,2039.0,1123.0,916.0,218.0,121.0,97.0,756.0,401.0,355.0,449.0,239.0,210.0,275.0,170.0,105.0,182.0,109.0,73.0,159.0,83.0,76.0
9125,D0302,29.0,572.0,Bangalore,NCT of Delhi,Rural,Urban,1269.0,748.0,521.0,128.0,85.0,43.0,407.0,243.0,164.0,260.0,150.0,110.0,172.0,100.0,72.0,128.0,79.0,49.0,174.0,91.0,83.0
9134,D0302,29.0,572.0,Bangalore,Rajasthan,Rural,Urban,29500.0,17388.0,12112.0,1384.0,817.0,567.0,7067.0,3986.0,3081.0,6082.0,3596.0,2486.0,6499.0,3885.0,2614.0,5864.0,3744.0,2120.0,2604.0,1360.0,1244.0
9143,D0302,29.0,572.0,Bangalore,Uttar Pradesh,Rural,Urban,16431.0,11112.0,5319.0,1716.0,1219.0,497.0,5990.0,4025.0,1965.0,3771.0,2650.0,1121.0,2487.0,1708.0,779.0,1138.0,766.0,372.0,1329.0,744.0,585.0
9152,D0302,29.0,572.0,Bangalore,Bihar,Rural,Urban,19817.0,14064.0,5753.0,2141.0,1542.0,599.0,7565.0,5480.0,2085.0,4672.0,3385.0,1287.0,3046.0,2164.0,882.0,913.0,635.0,278.0,1480.0,858.0,622.0
9161,D0302,29.0,572.0,Bangalore,Sikkim,Rural,Urban,86.0,60.0,26.0,8.0,7.0,1.0,39.0,29.0,10.0,18.0,10.0,8.0,11.0,7.0,4.0,5.0,4.0,1.0,5.0,3.0,2.0
9170,D0302,29.0,572.0,Bangalore,Arunachal Pradesh,Rural,Urban,144.0,104.0,40.0,19.0,11.0,8.0,75.0,56.0,19.0,38.0,28.0,10.0,9.0,6.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0
9179,D0302,29.0,572.0,Bangalore,Nagaland,Rural,Urban,153.0,92.0,61.0,16.0,11.0,5.0,72.0,46.0,26.0,27.0,11.0,16.0,15.0,8.0,7.0,15.0,9.0,6.0,8.0,7.0,1.0
9188,D0302,29.0,572.0,Bangalore,Manipur,Rural,Urban,948.0,579.0,369.0,151.0,101.0,50.0,477.0,289.0,188.0,177.0,109.0,68.0,69.0,40.0,29.0,16.0,10.0,6.0,58.0,30.0,28.0
9197,D0302,29.0,572.0,Bangalore,Mizoram,Rural,Urban,40.0,17.0,23.0,3.0,1.0,2.0,25.0,12.0,13.0,7.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0
