,Table name,State,District,Area Name,Place of enumeration,Duration of residence,Age -group,Last residence,Total migrants(Persons),Total migrants(Males),Total migrants(Females),Illiterate(Persons),Illiterate(Males),Illiterate(Females),Literate(Persons),Literate(Males),Literate(Females),Literate but below Matric/Secondary(Persons),Literate but below Matric/Secondary(Males),Literate but below Matric/Secondary(Females),Matric/Secondary but below graduate(Persons),Matric/Secondary but below graduate(Males),Matric/Secondary but below graduate(Females),Technical diploma or certificate  not equal to degree(Persons),Technical diploma or certificate  not equal to degree(Males),Technical diploma or certificate  not equal to degree(Females),Graduate and above  other than technical degree(Persons),Graduate and above  other than technical degree(Males),Graduate and above  other than technical degree(Females),Technical degree or diploma equal to degree or post-graduate degree(Persons),Technical degree or diploma equal to degree or post-graduate degree(Males),Technical degree or diploma equal to degree or post-graduate degree(Females)
15390,D0904,29.0,572.0,Bangalore,Total,All durations of residence,All ages,Total,5140755.0,2706024.0,2434731.0,1000604.0,426212.0,574392.0,4140151.0,2279812.0,1860339.0,1268223.0,643039.0,625184.0,1457323.0,794841.0,662482.0,127134.0,99148.0,27986.0,704562.0,380672.0,323890.0,394951.0,263902.0,131049.0
15391,D0904,29.0,572.0,Bangalore,Total,All durations of residence,0-4,Total,286304.0,146960.0,139344.0,286304.0,146960.0,139344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15392,D0904,29.0,572.0,Bangalore,Total,All durations of residence, 5-9,Total,275411.0,142408.0,133003.0,129601.0,66849.0,62752.0,145810.0,75559.0,70251.0,142429.0,73634.0,68795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15393,D0904,29.0,572.0,Bangalore,Total,All durations of residence, 10-14,Total,277097.0,144183.0,132914.0,11875.0,5374.0,6501.0,265222.0,138809.0,126413.0,260732.0,136271.0,124461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15394,D0904,29.0,572.0,Bangalore,Total,All durations of residence,15-19,Total,335667.0,174998.0,160669.0,16681.0,7557.0,9124.0,318986.0,167441.0,151545.0,90064.0,50872.0,39192.0,213129.0,106850.0,106279.0,6639.0,4933.0,1706.0,0.0,0.0,0.0,0.0,0.0,0.0
15395,D0904,29.0,572.0,Bangalore,Total,All durations of residence,20-24,Total,612838.0,316150.0,296688.0,36563.0,14463.0,22100.0,576275.0,301687.0,274588.0,112549.0,58029.0,54520.0,262304.0,132219.0,130085.0,27644.0,21003.0,6641.0,82251.0,38263.0,43988.0,67203.0,39533.0,27670.0
15396,D0904,29.0,572.0,Bangalore,Total,All durations of residence,25-29,Total,737453.0,379036.0,358417.0,57025.0,20987.0,36038.0,680428.0,358049.0,322379.0,132281.0,63834.0,68447.0,233333.0,123950.0,109383.0,23955.0,18493.0,5462.0,142943.0,66506.0,76437.0,115842.0,68821.0,47021.0
15397,D0904,29.0,572.0,Bangalore,Total,All durations of residence,30-34,Total,588555.0,322850.0,265705.0,57692.0,21876.0,35816.0,530863.0,300974.0,229889.0,104172.0,52123.0,52049.0,177822.0,101815.0,76007.0,18136.0,14417.0,3719.0,121716.0,61750.0,59966.0,84021.0,57470.0,26551.0
15398,D0904,29.0,572.0,Bangalore,Total,All durations of residence,35-39,Total,499624.0,271640.0,227984.0,75724.0,27092.0,48632.0,423900.0,244548.0,179352.0,102066.0,50592.0,51474.0,148521.0,87503.0,61018.0,13965.0,11330.0,2635.0,92265.0,50190.0,42075.0,45378.0,33386.0,11992.0
15399,D0904,29.0,572.0,Bangalore,Total,All durations of residence,40-44,Total,356261.0,197292.0,158969.0,63570.0,24834.0,38736.0,292691.0,172458.0,120233.0,74104.0,38696.0,35408.0,104278.0,62664.0,41614.0,9947.0,7998.0,1949.0,63545.0,35540.0,28005.0,25335.0,19222.0,6113.0
15400,D0904,29.0,572.0,Bangalore,Total,All durations of residence,45-49,Total,309330.0,165048.0,144282.0,65007.0,24509.0,40498.0,244323.0,140539.0,103784.0,69254.0,35298.0,33956.0,85644.0,49498.0,36146.0,6447.0,5092.0,1355.0,53409.0,30941.0,22468.0,16037.0,12593.0,3444.0
15401,D0904,29.0,572.0,Bangalore,Total,All durations of residence,50-54,Total,233686.0,123095.0,110591.0,48127.0,17968.0,30159.0,185559.0,105127.0,80432.0,48592.0,24009.0,24583.0,67252.0,37381.0,29871.0,4894.0,3787.0,1107.0,44695.0,26986.0,17709.0,10128.0,7797.0,2331.0
15402,D0904,29.0,572.0,Bangalore,Total,All durations of residence,55-59,Total,189917.0,97590.0,92327.0,37222.0,12323.0,24899.0,152695.0,85267.0,67428.0,37642.0,17550.0,20092.0,55454.0,29561.0,25893.0,4105.0,3094.0,1011.0,39360.0,25018.0,14342.0,7942.0,6028.0,1914.0
15403,D0904,29.0,572.0,Bangalore,Total,All durations of residence,60-64,Total,163828.0,84718.0,79110.0,39107.0,12545.0,26562.0,124721.0,72173.0,52548.0,32557.0,14918.0,17639.0,44171.0,24482.0,19689.0,4281.0,3320.0,961.0,28045.0,18921.0,9124.0,8659.0,7079.0,1580.0
15404,D0904,29.0,572.0,Bangalore,Total,All durations of residence,65-69,Total,108089.0,55676.0,52413.0,28529.0,8679.0,19850.0,79560.0,46997.0,32563.0,23330.0,10504.0,12826.0,27374.0,15893.0,11481.0,3348.0,2736.0,612.0,14774.0,10454.0,4320.0,5899.0,4942.0,957.0
