,Table name,State,District,Area Name,Last residence,Last residence.1,Place of enumeration,Total migrants(Persons),Total migrants(Males),Total migrants(Females),Less than 1 year(Persons),Less than 1 year(Males),Less than 1 year(Females),1-4 years(Persons),1-4 years(Males),1-4 years(Females),5-9 years(Persons),5-9 years(Males),5-9 years(Females),10-19 years(Persons),10-19 years(Males),10-19 years(Females),20+ years(Persons),20+ years(Males),20+ years(Females),Duration not stated(Persons),Duration not stated(Males),Duration not stated(Females)
9018,D0302,29.0,572.0,Bangalore,Total,Total,Total,5140755.0,2706024.0,2434731.0,298144.0,163990.0,134154.0,1164824.0,621623.0,543201.0,900145.0,484831.0,415314.0,789872.0,414581.0,375291.0,870236.0,462448.0,407788.0,1117534.0,558551.0,558983.0
9019,D0302,29.0,572.0,Bangalore,Total,Total,Rural,532176.0,259610.0,272566.0,52414.0,30180.0,22234.0,149988.0,81514.0,68474.0,88372.0,43493.0,44879.0,62049.0,25030.0,37019.0,64557.0,17314.0,47243.0,114796.0,62079.0,52717.0
9020,D0302,29.0,572.0,Bangalore,Total,Total,Urban,4608579.0,2446414.0,2162165.0,245730.0,133810.0,111920.0,1014836.0,540109.0,474727.0,811773.0,441338.0,370435.0,727823.0,389551.0,338272.0,805679.0,445134.0,360545.0,1002738.0,496472.0,506266.0
9021,D0302,29.0,572.0,Bangalore,Last residence within India,Total,Total,5090696.0,2678711.0,2411985.0,293279.0,161289.0,131990.0,1148892.0,612887.0,536005.0,891301.0,479952.0,411349.0,784511.0,411592.0,372919.0,865072.0,459607.0,405465.0,1107641.0,553384.0,554257.0
9022,D0302,29.0,572.0,Bangalore,Last residence within India,Total,Rural,529700.0,258096.0,271604.0,52080.0,29980.0,22100.0,149109.0,80960.0,68149.0,87946.0,43229.0,44717.0,61788.0,24873.0,36915.0,64389.0,17239.0,47150.0,114388.0,61815.0,52573.0
9023,D0302,29.0,572.0,Bangalore,Last residence within India,Total,Urban,4560996.0,2420615.0,2140381.0,241199.0,131309.0,109890.0,999783.0,531927.0,467856.0,803355.0,436723.0,366632.0,722723.0,386719.0,336004.0,800683.0,442368.0,358315.0,993253.0,491569.0,501684.0
9024,D0302,29.0,572.0,Bangalore,Last residence within India,Rural,Total,1763770.0,953147.0,810623.0,114117.0,64979.0,49138.0,458334.0,250835.0,207499.0,373326.0,205705.0,167621.0,328029.0,176112.0,151917.0,335483.0,179225.0,156258.0,154481.0,76291.0,78190.0
9025,D0302,29.0,572.0,Bangalore,Last residence within India,Rural,Rural,310125.0,145327.0,164798.0,33456.0,19546.0,13910.0,97606.0,53216.0,44390.0,59655.0,29392.0,30263.0,43444.0,17129.0,26315.0,48070.0,12027.0,36043.0,27894.0,14017.0,13877.0
9026,D0302,29.0,572.0,Bangalore,Last residence within India,Rural,Urban,1453645.0,807820.0,645825.0,80661.0,45433.0,35228.0,360728.0,197619.0,163109.0,313671.0,176313.0,137358.0,284585.0,158983.0,125602.0,287413.0,167198.0,120215.0,126587.0,62274.0,64313.0
9027,D0302,29.0,572.0,Bangalore,Last residence within India,Urban,Total,2608745.0,1362726.0,1246019.0,160609.0,86699.0,73910.0,636137.0,334384.0,301753.0,475636.0,252699.0,222937.0,418788.0,217094.0,201694.0,481626.0,256883.0,224743.0,435949.0,214967.0,220982.0
