,Table,State Code,District Code,Name,Place of last residence,Total/ Rural/ Urban,Rural Urban  status of place of Enumeration,Total migrants,Total migrants(male),Total migrants(female),Duration of Residence In Place of Enumeration (less than 1 year total persons),Duration of Residence In Place of Enumeration (less than 1 year male),Duration of Residence In Place of Enumeration (less than 1 year female),Duration of Residence In Place of Enumeration (1-4 years total persons),Duration of Residence In Place of Enumeration (1-4 years male),Duration of Residence In Place of Enumeration (1-4 years female),Duration of Residence In Place of Enumeration (5-9 years total persons),Duration of Residence In Place of Enumeration (5-9 years male),Duration of Residence In Place of Enumeration (5-9 years female),Duration of Residence In Place of Enumeration (10-19 years total persons),Duration of Residence In Place of Enumeration (10-19 years male),Duration of Residence In Place of Enumeration (10-19 years female),Duration of Residence In Place of Enumeration (20+ years total persons),Duration of Residence In Place of Enumeration (20+ years male),Duration of Residence In Place of Enumeration (20+ years female),Duration of Residence In Place of Enumeration (period not stated total persons),Duration of Residence In Place of Enumeration (period not stated male),Duration of Residence In Place of Enumeration (period not stated female)
10018,D0302,29.0,20.0,District - Bangalore 20,Total,Total,Total,2545271.0,1367046.0,1178225.0,52546.0,28303.0,24243.0,523224.0,291700.0,231524.0,353931.0,188332.0,165599.0,456866.0,237909.0,218957.0,500232.0,275682.0,224550.0,658472.0,345120.0,313352.0
10019,D0302,29.0,20.0,District - Bangalore 20,Total,Total,Rural,227257.0,102826.0,124431.0,7684.0,4135.0,3549.0,62347.0,33885.0,28462.0,34283.0,15550.0,18733.0,33890.0,12005.0,21885.0,32852.0,7639.0,25213.0,56201.0,29612.0,26589.0
10020,D0302,29.0,20.0,District - Bangalore 20,Total,Total,Urban,2318014.0,1264220.0,1053794.0,44862.0,24168.0,20694.0,460877.0,257815.0,203062.0,319648.0,172782.0,146866.0,422976.0,225904.0,197072.0,467380.0,268043.0,199337.0,602271.0,315508.0,286763.0
10021,D0302,29.0,20.0,District - Bangalore 20,Last residence elsewhere in India,Total,Total,2532657.0,1359701.0,1172956.0,51987.0,27954.0,24033.0,518793.0,288964.0,229829.0,352022.0,187237.0,164785.0,454990.0,236853.0,218137.0,497942.0,274400.0,223542.0,656923.0,344293.0,312630.0
10022,D0302,29.0,20.0,District - Bangalore 20,Last residence elsewhere in India,Total,Rural,226582.0,102400.0,124182.0,7641.0,4103.0,3538.0,62057.0,33692.0,28365.0,34153.0,15476.0,18677.0,33818.0,11957.0,21861.0,32794.0,7600.0,25194.0,56119.0,29572.0,26547.0
10023,D0302,29.0,20.0,District - Bangalore 20,Last residence elsewhere in India,Total,Urban,2306075.0,1257301.0,1048774.0,44346.0,23851.0,20495.0,456736.0,255272.0,201464.0,317869.0,171761.0,146108.0,421172.0,224896.0,196276.0,465148.0,266800.0,198348.0,600804.0,314721.0,286083.0
10024,D0302,29.0,20.0,District - Bangalore 20,Last residence elsewhere in India,Rural,Total,977095.0,533007.0,444088.0,24324.0,13627.0,10697.0,252126.0,142807.0,109319.0,176189.0,96080.0,80109.0,221966.0,118225.0,103741.0,225983.0,124727.0,101256.0,76507.0,37541.0,38966.0
10025,D0302,29.0,20.0,District - Bangalore 20,Last residence elsewhere in India,Rural,Rural,133288.0,55249.0,78039.0,5016.0,2789.0,2227.0,41866.0,22492.0,19374.0,23900.0,10609.0,13291.0,24397.0,8080.0,16317.0,26249.0,5669.0,20580.0,11860.0,5610.0,6250.0
10026,D0302,29.0,20.0,District - Bangalore 20,Last residence elsewhere in India,Rural,Urban,843807.0,477758.0,366049.0,19308.0,10838.0,8470.0,210260.0,120315.0,89945.0,152289.0,85471.0,66818.0,197569.0,110145.0,87424.0,199734.0,119058.0,80676.0,64647.0,31931.0,32716.0
10027,D0302,29.0,20.0,District - Bangalore 20,Last residence elsewhere in India,Urban,Total,1098823.0,582848.0,515975.0,24635.0,13043.0,11592.0,251513.0,138255.0,113258.0,165451.0,86044.0,79407.0,219182.0,112087.0,107095.0,255261.0,141088.0,114173.0,182781.0,92331.0,90450.0
